SP80053ControlDetailIndex,SP80053ID,SP80053ControlDetailID,SP80053ControlDetailEnhancement,SP80053ControlDetailEnhancementID,SP80053ControlDetailEnhancementTitle,SP80053ControlDetailShortTitle,SP80053ControlDetailDescription,SP80053ControlDetailAssignment,SP80053ControlDetailTier,SP80053ControlDetailDesignation,SP80053ControlDetailSupplementalGuidance,SP80053ControlDetailReference,SP80053ControlDetailPriority,SP80053ControlDetailAssurance,SP80053ControlDetailBaseline,SP80053ControlDetailBaselineMod,SP80053ControlDetailBaselineHigh,SP80053ControlIndex
483,CP-4 (2)(a),4 (2)(a),1,(2)(a),Alternate Processing Site,Alternate Processing Site,The organization tests the contingency plan at the alternate processing site to familiarize contingency personnel with the facility and available resources.,,Organization,,,,P2,1,0,0,1,66
484,CP-4 (2)(b),4 (2)(b),1,(2)(b),Alternate Processing Site,Alternate Processing Site,The organization tests the contingency plan at the alternate processing site to evaluate the capabilities of the alternate processing site to support contingency operations.,,Organization,,,,P2,1,0,0,1,66
485,CP-4 (3),4 (3),1,3,Automated Testing,Automated Testing,The organization employs automated mechanisms to more thoroughly and effectively test the contingency plan.,,Organization,,,,P2,1,0,0,0,66
486,CP-4 (4),4 (4),1,4,Full Recovery / Reconstitution,Full Recovery / Reconstitution,The organization includes a full recovery and reconstitution of the information system to a known state as part of contingency plan testing.,,Organization,,,,P2,1,0,0,0,66
487,CP-4a,4a,0,,,,The organization tests the contingency plan for the information system [Assignment: organization-defined frequency] using [Assignment: organization-defined tests] to determine the effectiveness of the plan and the organizational readiness to execute the plan;,Assignment: organization-defined frequency,Organization,,,,P2,1,1,1,1,66
488,CP-4b,4b,0,,,,The organization reviews the contingency plan test results.,,Organization,,,,P2,1,1,1,1,66
489,CP-4c,4c,0,,,,"The organization nitiates corrective actions, if needed.",,Organization,,,,P2,1,1,1,1,66
491,CP-6 (1),6 (1),1,1,Separation From Primary Site,Separation From Primary Site,The organization identifies an alternate storage site that is separated from the primary storage site to reduce susceptibility to the same threats.,,Organization,,,,P1,0,0,1,1,67
492,CP-6 (2),6 (2),1,2,Recovery Time / Point Objectives,Recovery Time / Point Objectives,The organization configures the alternate storage site to facilitate recovery operations in accordance with recovery time and recovery point objectives.,,Organization,,,,P1,0,0,0,1,67
493,CP-6 (3),6 (3),1,3,Accessibility,Accessibility,The organization identifies potential accessibility problems to the alternate storage site in the event of an area-wide disruption or disaster and outlines explicit mitigation actions.,,Organization,,,,P1,0,0,1,1,67
494,CP-6a,6a,0,,,,The organization establishes an alternate storage site including necessary agreements to permit the storage and retrieval of information system backup information.,,Organization,,,,P1,0,0,1,1,67
495,CP-6b,6b,0,,,,The organization ensures that the alternate storage site provides information security safeguards equivalent to that of the primary site.,,Organization,,,,P1,0,0,1,1,67
497,CP-7 (1),7 (1),1,1,Separation From Primary Site,Separation From Primary Site,The organization identifies an alternate processing site that is separated from the primary processing site to reduce susceptibility to the same threats.,,Organization,,,,P1,0,0,1,1,68
498,CP-7 (2),7 (2),1,2,Accessibility,Accessibility,The organization identifies potential accessibility problems to the alternate processing site in the event of an area-wide disruption or disaster and outlines explicit mitigation actions.,,Organization,,,,P1,0,0,1,1,68
499,CP-7 (3),7 (3),1,3,Priority Of Service,Priority Of Service,The organization develops alternate processing site agreements that contain priority-of-service provisions in accordance with organizational availability requirements (including recovery time objectives).,,Organization,,,,P1,0,0,1,1,68
500,CP-7 (4),7 (4),1,4,Preparation For Use,Preparation For Use,The organization prepares the alternate processing site so that the site is ready to be used as the operational site supporting essential missions and business functions.,,Organization,,,,P1,0,0,0,1,68
501,CP-7 (6),7 (6),1,6,Inability To Return To Primary Site,Inability To Return To Primary Site,The organization plans and prepares for circumstances that preclude returning to the primary processing site.,,Organization,,,,P1,0,0,0,0,68
502,CP-7a,7a,0,,,,The organization establishes an alternate processing site including necessary agreements to permit the transfer and resumption of [Assignment: organization-defined information system operations] for essential missions/business functions within [Assignment: organization-defined time period consistent with recovery time and recovery point objectives] when the primary processing capabilities are unavailable;,Assignment: organization-defined information system operations,Organization,,,,P1,0,0,1,1,68
503,CP-7b,7b,0,,,,The organization ensures that equipment and supplies required to transfer and resume operations are available at the alternate processing site or contracts are in place to support delivery to the site within the organization-defined time period for transfer/resumption.,,Organization,,,,P1,0,0,1,1,68
504,CP-7c,7c,0,,,,The organization ensures that the alternate processing site provides information security safeguards equivalent to those of the primary site.,,Organization,,,,P1,0,0,1,1,68
505,CP-8,8,0,,,,The organization establishes alternate telecommunications services including necessary agreements to permit the resumption of [Assignment: organization-defined information system operations] for essential missions and business functions within [Assignment: organizationdefined time period] when the primary telecommunications capabilities are unavailable at either the primary or alternate processing or storage sites.,Assignment: organization-defined information system operations,Organization,,,,P1,0,0,1,1,69
506,CP-8 (1)(a),8 (1)(a),1,(1)(a),Priority Of Service Provisions,Priority Of Service Provisions,The organization develops primary and alternate telecommunications service agreements that contain priority-of-service provisions in accordance with organizational availability requirements (including recovery time objectives).,,Organization,,,,P1,0,0,1,1,69
507,CP-8 (1)(b),8 (1)(b),1,(1)(b),Priority Of Service Provisions,Priority Of Service Provisions,The organization requests Telecommunications Service Priority for all telecommunications services used for national security emergency preparedness in the event that the primary and/or alternate telecommunications services are provided by a common carrier.,,Organization,,,,P1,0,0,1,1,69
508,CP-8 (2),8 (2),1,2,Single Points Of Failure,Single Points Of Failure,The organization obtains alternate telecommunications services to reduce the likelihood of sharing a single point of failure with primary telecommunications services.,,Organization,,,,P1,0,0,1,1,69
509,CP-8 (3),8 (3),1,3,Separation Of Primary / Alternate Providers,Separation Of Primary / Alternate Providers,The organization obtains alternate telecommunications services from providers that are separated from primary service providers to reduce susceptibility to the same threats.,,Organization,,,,P1,0,0,0,1,69
510,CP-8 (4)(a),8 (4)(a),1,(4)(a),Provider Contingency Plan,Provider Contingency Plan,The organization requires primary and alternate telecommunications service providers to have contingency plans;,,Organization,,,,P1,0,0,0,1,69
